,USE,EE,BI,FC,SN,PE
USE,,1.31,1.30,1.31,1.33,1.17
EE,1.32,,1.35,1.36,1.29,1.35
BI,1.40,1.35,,1.26,1.38,1.06
FC,1.38,1.51,1.37,,1.39,1.29
SN,1.32,1.39,1.38,1.32,,1.41
PE,1.32,1.41,1.36,1.31,1.41,
