,USE,EE,BI,FC,SN,PE
USE,,1.31,1.31,1.30,1.33,1.16
EE,1.33,,1.33,1.29,1.34,1.25
BI,1.38,1.35,,1.29,1.38,1.26
FC,1.36,1.52,1.30,,1.36,1.28
SN,1.31,1.34,1.29,1.30,,1.26
PE,1.31,1.34,1.26,1.29,1.35,
