,USE,EE,BI,FC,SN,PE
USE,,1.31,1.34,1.30,1.33,1.25
EE,1.28,,1.30,1.39,1.35,1.32
BI,1.36,1.42,,1.27,1.41,1.27
FC,1.29,1.46,1.32,,1.36,1.31
SN,1.27,1.35,1.32,1.29,,1.33
PE,1.29,1.37,1.26,1.28,1.33,
