,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.43,1.75,1.39,1.48,2.01,1.49,1.49,1.38,1.35
Qu,1.48,,1.60,1.43,1.54,1.41,1.36,1.37,1.33,1.32
PU,1.63,1.45,,1.40,1.51,1.75,1.49,1.46,1.41,1.34
PEU,1.40,1.37,1.43,,1.69,1.47,1.47,1.48,1.39,1.29
ENJ,1.43,1.38,1.50,1.51,,1.48,1.50,1.44,1.40,1.34
BI,1.75,1.41,1.59,1.37,1.43,,1.36,1.46,1.40,1.33
JR,1.39,1.28,1.33,1.38,1.40,1.43,,1.43,1.41,1.36
Pf,1.41,1.28,1.36,1.38,1.41,1.48,1.51,,1.37,1.34
Im,1.47,1.33,1.44,1.39,1.47,1.49,1.49,1.41,,1.45
SA,1.40,1.30,1.36,1.39,1.48,1.41,1.45,1.47,1.44,
