,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.38,1.71,1.39,1.47,1.92,1.43,1.48,1.41,1.31
Qu,1.57,,1.61,1.43,1.55,1.61,1.43,1.44,1.38,1.31
PU,1.63,1.41,,1.38,1.54,1.73,1.50,1.47,1.41,1.30
PEU,1.37,1.36,1.40,,1.59,1.44,1.50,1.46,1.35,1.27
ENJ,1.44,1.32,1.45,1.45,,1.42,1.47,1.44,1.38,1.32
BI,1.68,1.37,1.59,1.39,1.43,,1.36,1.47,1.35,1.29
JR,1.37,1.30,1.34,1.37,1.42,1.42,,1.47,1.41,1.36
Pf,1.43,1.28,1.35,1.38,1.44,1.42,1.48,,1.36,1.30
Im,1.47,1.32,1.46,1.37,1.44,1.45,1.52,1.41,,1.42
SA,1.40,1.31,1.32,1.39,1.47,1.45,1.45,1.47,1.49,
